,Delta,Alpha,Beta,C.1.2,Omicron
1,0,0,83,0,0
2,0,2,428,0,0
3,0,1,97,0,0
4,0,0,225,0,0
5,0,0,98,0,0
6,0,0,74,0,0
7,1,0,91,0,0
8,0,0,47,0,0
9,0,0,101,0,0
10,0,0,68,0,0
11,0,0,109,0,0
12,0,0,80,0,0
13,0,0,36,0,0
14,0,0,65,0,0
15,0,2,36,0,0
16,0,0,78,0,0
17,0,0,34,0,0
18,0,1,54,0,0
19,1,1,26,0,0
20,0,0,50,0,0
21,0,0,56,0,0
22,0,1,39,0,0
23,2,2,113,0,0
24,2,1,90,0,0
25,9,0,55,0,0
26,1,0,68,0,0
27,0,8,34,0,0
28,2,0,81,0,0
29,2,4,38,0,0
30,6,1,80,0,0
31,2,0,28,0,0
32,0,0,36,0,0
33,0,0,45,0,0
34,0,0,44,0,0
35,1,2,50,0,0
36,5,1,31,0,0
37,1,0,79,0,0
38,1,2,78,0,0
39,0,7,44,0,0
40,1,6,58,0,0
41,4,4,68,0,0
42,16,2,116,0,0
43,3,3,73,0,0
44,11,8,96,1,0
45,11,7,62,0,0
46,16,9,83,2,0
47,15,9,98,0,0
48,20,4,63,0,0
49,43,11,92,0,0
50,31,10,52,0,0
51,94,14,132,0,0
52,97,15,92,3,0
53,142,9,120,4,0
54,106,5,53,0,0
55,109,13,38,1,0
56,280,12,51,4,0
57,139,8,30,5,0
58,322,9,43,5,0
59,291,8,24,2,0
60,376,13,23,5,0
61,450,4,35,10,0
62,361,0,14,12,0
63,456,1,18,13,0
64,366,0,10,8,0
65,480,0,9,6,0
66,283,0,6,12,0
67,396,4,3,12,0
68,295,1,4,10,0
69,223,0,2,5,0
70,471,2,5,15,0
71,159,0,0,4,0
72,350,0,3,13,0
73,304,0,3,12,0
74,213,0,0,6,0
75,304,0,0,7,0
76,216,0,0,1,2
77,326,0,1,9,0
78,146,0,1,2,0
79,360,0,3,7,0
80,176,1,0,4,0
81,334,0,1,2,0
82,255,0,1,7,0
83,147,0,0,2,1
84,250,0,0,9,0
85,99,0,0,2,0
86,228,0,0,6,0
87,140,0,0,5,0
88,171,0,3,4,0
89,109,0,1,3,0
90,68,0,2,1,0
91,92,0,0,1,0
92,32,0,2,2,0
93,96,0,39,3,0
94,100,0,12,3,0
95,77,0,2,7,0
96,103,0,3,2,0
97,51,0,1,0,0
98,65,0,3,2,0
99,27,0,1,0,1
100,34,0,1,0,0
101,27,0,0,1,0
102,16,0,0,0,0
103,29,0,2,3,1
104,9,0,0,1,1
105,18,0,0,2,11
106,6,0,0,2,10
107,13,0,1,0,128
108,16,0,0,1,87
109,21,0,0,1,136
110,15,0,0,0,230
111,3,0,0,0,153
112,2,0,2,0,263
113,0,0,0,0,68
114,0,0,0,0,51
